2025-03-15 12:10:59.524 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:10:59.711 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:12:51.485 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:12:53.530 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1018)
2025-03-15 12:14:45.310 | INFO     | __main__:<module>:463 - Serving HTTP on 0.0.0.0 port 8080 (https://127.0.0.1:8080...)
2025-03-15 12:15:56.795 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:15:56.909 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:15:58.641 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:15:59.829 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:15:59.910 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:16:07.742 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:16:10.572 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:16:10.658 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:16:12.195 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:16:14.181 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:16:17.631 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:16:17.698 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:16:22.841 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:16:25.544 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:16:40.301 | ERROR    | __main__:process_error:244 - Proxy error: The read operation timed out
2025-03-15 12:16:42.880 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:16:43.147 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:16:43.967 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:17:13.084 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:17:13.110 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:17:36.226 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:17:36.313 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:17:38.888 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:17:43.498 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:17:43.570 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:17:43.888 | ERROR    | __main__:process_error:244 - Proxy error: Server disconnected without sending a response.
2025-03-15 12:17:46.495 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:17:46.876 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:17:46.978 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:17:50.828 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:17:51.763 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:17:55.157 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:18:00.325 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:18:01.652 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:18:02.888 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:18:16.717 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:18:16.732 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:18:17.699 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 12:18:25.899 | ERROR    | __main__:process_error:244 - Proxy error: The read operation timed out
2025-03-15 12:25:28.265 | INFO     | __main__:<module>:463 - Serving HTTP on 0.0.0.0 port 8080 (https://127.0.0.1:8080...)
2025-03-15 13:55:16.303 | INFO     | __main__:<module>:463 - Serving HTTP on 0.0.0.0 port 8080 (https://127.0.0.1:8080...)
2025-03-15 13:55:46.868 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 13:56:18.774 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 13:57:12.403 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 13:57:12.589 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 13:57:18.186 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 13:57:18.396 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 14:00:44.467 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 14:00:46.134 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
